127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/images/facebook.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/images/gplus-32.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/default/peek/boss/views/default/index.html, HTTP/1.1, 303, 0.279000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/default/index, HTTP/1.1, 200, 0.117000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/css/calendar.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/js/web2py.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/js/calendar.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/js/jquery.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:48:33, GET, /admin/static/_2.14.5/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:48:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-04-26 13:48:38, POST, /admin/default/index, HTTP/1.1, 200, 0.051000
127.0.0.1, 2016-04-26 13:48:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-04-26 13:48:41, POST, /admin/default/index, HTTP/1.1, 303, 0.034000
127.0.0.1, 2016-04-26 13:48:41, GET, /admin/default/peek/boss/views/default/index.html, HTTP/1.1, 200, 0.041000
127.0.0.1, 2016-04-26 13:48:41, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-04-26 14:13:11, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2016-04-26 14:13:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.032000
127.0.0.1, 2016-04-26 14:13:19, GET, /admin/default/index, HTTP/1.1, 303, 0.010000
127.0.0.1, 2016-04-26 14:13:19, GET, /admin/default/site, HTTP/1.1, 200, 0.166000
