127.0.0.1, 2016-07-28 14:19:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-28 14:19:56, POST, /admin/default/index, HTTP/1.1, 303, 0.036000
127.0.0.1, 2016-07-28 14:19:57, GET, /admin/default/site, HTTP/1.1, 200, 0.131000
127.0.0.1, 2016-07-28 14:19:57, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:19:57, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:19:57, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:19:57, POST, /admin/default/check_version, HTTP/1.1, 200, 0.486000
127.0.0.1, 2016-07-28 14:19:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-28 14:26:49, POST, /admin/default/site, HTTP/1.1, 200, 0.057000
127.0.0.1, 2016-07-28 14:26:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-28 14:26:58, POST, /admin/default/site, HTTP/1.1, 303, 0.134000
127.0.0.1, 2016-07-28 14:26:58, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.335000
127.0.0.1, 2016-07-28 14:26:58, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:26:58, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:26:58, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:26:58, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:26:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-28 14:27:43, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/default/edit/welcome/views/layout.html, HTTP/1.1, 200, 0.193000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001000
